id,title,intro,image,steps,ingredients,tags,notice,level,craft,duration,flavor
1,红烧鸡翅,,http://i8.meishichina.com/attachment/recipe/200910/200910120907019.jpg@!p800,"['鸡翅洗净抹干水分，加入腌料拌匀，腌制1小时', '牛腩切3厘米左右的块；土豆一半切1厘米小块另一半切3厘米左右的块；洋葱切碎，至于是切块还是切条切丝，大家随意啊；胡萝卜切的小一点，会入味，甜甜的。', '很疑惑']","{'鸡翅中': '8个', '姜': '2片', '葱': '2根', '盐': '4克', '料酒': '半汤勺', '酱油': '1汤勺', '胡椒粉': '少许', '蚝油': '2汤勺', '糖': '1茶勺', '麻油': '少许'}",[],"特点：色泽酱红，鲜香酥嫩。
小提示：挑选鸡翅时，为了受热均匀，最好全部选用鸡翅中段。",普通,烧,一小时,原味
2,萝卜丝鲫鱼汤,,http://i8.meishichina.com/attachment/recipe/200910/200910120922340.jpg@!p800,"['鲫鱼洗净后放入调味料B腌制20分钟。', '将萝卜丝、高汤、开水3杯，加盖用高火打6分钟。', '将鲫鱼放在萝卜丝上，并加入调味料A加盖，再用高火炖10分钟，撒上葱末即可。']","{'鲫鱼': '1条', '白萝卜丝': '200克', '高汤': '2杯', '料酒': '适量', '盐': '适量', '姜丝': '适量', '葱末': '适量'}",[],"特点：汤质洁白，味鲜爽口。
功效：萝卜其性凉味辛甘，可消积滞、化痰清热，下气宽中、解毒。鲫鱼具有健脾利湿、和中开胃、活血通络、温中下气之功效。",普通,煮,三刻钟,原味
3,沙茶牛肉,,http://i8.meishichina.com/attachment/recipe/200910/200910130146134.jpg@!p800,"['牛肉片用白酱油抓匀，再加淀粉拌匀。', '将牛肉片加入沙茶酱、花生酱、白糖、蒜末、味精、再放入青椒片、洋葱片淋上熟猪油拌匀，用高档火打6分钟即可。']","{'牛肉片': '300克', '青椒片': '75克', '洋葱片': '50克', '沙茶酱': '75克', '白糖': '20克', '白酱油': '20克', '淀粉': '30克', '蒜末': '10克', '花生酱': '35克', '味精': '3克', '熟猪油': '适量'}",[],"特点：牛肉细嫩，酱香味浓。
功效：中医认为，牛肉有补中益气、滋养脾胃、强健筋骨、化痰息风、止渴止涎。
提示：牛肉不宜常吃，一周一次为宜，牛肉的肌肉纤维较粗糙不易消化，更有很高的胆固醇和脂肪，故老人、幼儿及消化力弱的人不宜多吃。",普通,炒,廿分钟,原味
4,五彩鳝丝,,http://i3.meishichina.com/attachment/recipe/200910/200910130207580.jpg@!p800,"['将鳝丝洗净、沥干，放入调味料B拌匀后，腌制10分钟。', '把腌渍后的鳝丝及原料装入盘内，再加入1汤勺酒及熟油，加盖，用高火打4分钟（中途可搅拌一次）。', '淋上葱末、胡椒粉、浇上1汤勺熟油，趁热食用。']","{'鳝丝': '300克', '黄椒丝': '30克', '绿椒丝': '30克', '红椒丝': '30克', '冬笋丝': '30克', '胡椒粉': '1茶勺', '熟油': '2汤勺', '料酒': '1汤勺', '葱姜末': '1汤勺', '生粉': '1汤勺', '盐': '少许', '糖': '少许', '味精': '半茶勺'}",['热菜'],"特点：色彩鲜艳，肉质嫩滑。
贴心小提示：一般人用微波炉做菜时，将菜放在炉里就不去理会了，其实中间对汤。",普通,炒,半小时,原味
5,香菇鲜肉盏,,http://i8.meishichina.com/attachment/recipe/200910/200910130221548.jpg@!p800,"['香菇去蒂，泡软洗净，里面抹上干淀粉。', '肉末加蛋清、酒、盐、姜汁搅匀至黏稠，等分，酿入香菇盖中，整齐摆放于盘中，加盖，高火加热4分钟取出。', '高汤加白糖、盐、水淀粉拌匀，高火加热1分钟成芡汁，淋在香菇盏上即可。']","{'猪肉末': '200克', '香菇': '10克', '鸡蛋清': '1只', '酒': '4克', '白糖': '4克', '高汤': '20克', '盐': '5克', '淀粉': '9克', '姜汁': '5克'}",[],"特点：香润爽口。
功效：香菇高蛋白、低脂肪、多糖，含有多种氨基酸和多种维生素。多吃香菇能起到降低胆固醇、降血压的作用。",普通,蒸,廿分钟,原味
6,碧绿虾仁,,http://i3.meishichina.com/attachment/recipe/200910/200910130230340.jpg@!p800,"['虾仁洗净后，加入料酒、盐2克、葱、姜调匀后腌制15分钟。', '西兰花掰成小朵，洗净。', '虾仁和西兰花加入油，盐2克、味精搅拌均匀后加盖，用高火打4分钟。']","{'西兰花': '150克', '虾仁': '250克', '葱': '2根', '姜': '4片', '盐': '4克', '味精': '4克', '料酒': '10克', '油': '100克'}",['私房菜'],"特点：色泽碧绿，洁白，味道鲜美。
功效：中医认为，虾味甘咸、性温，有补肾壮阳、健脾化痰、益气通乳等功效。虾营养丰富，是典型的高蛋白、低脂肪的营养食品。",未知,炒,半小时,原味
7,剁椒蒸鱼头,,http://i3.meishichina.com/attachment/recipe/200910/200910130237153.jpg@!p800,"['将鲢鱼头洗净，从下颌部进刀，剁成边体两半，用盐、酱油、料酒、葱片、姜片、蒜片腌制入味。', '取出鱼头，面朝上放入盘中，铺上一层剁椒，入蒸器中用高档打10分钟，淋上热油，撒上葱花即可。']","{'鲢鱼头': '1个（约500克）', '剁椒': '200克', '盐': '8克', '料酒': '10克', '酱油': '3克', '葱片': '5克', '姜片': '5克', '蒜片': '5克', '色拉油': '5克', '葱花': '3克'}",['热菜'],"提示：蒸时要用旺火，鱼肉才鲜香嫩滑。
功效：鲢鱼味甘性温，有暖胃、补气、泽肤，利水等功效。",未知,蒸,半小时,原味
8,黑椒牛柳,,http://i8.meishichina.com/attachment/recipe/200910/200910130247074.jpg@!p800,"['盘内入少量油，放姜、蒜茸、黑胡椒末、糖、盐、味精及少许芡汁用高火打2分钟调成黑椒汁待用。', '牛肉顶刀切成厚片，放碗中加酒、老抽、蛋清、嫩肉粉拌上劲，再加少许清油拌一下；洋葱洗净切丝。', '将洋葱丝放入盘中上面放牛肉，用保鲜膜覆盖，用高火打2分钟，取出淋黑椒汁将牛肉拌匀，用中火续打2分钟即可。']","{'洋葱': '1个', '牛肉': '400克', '姜': '5克', '蒜茸': '5克', '黑胡椒末': '20克', '糖': '3克', '盐': '4克', '味精': '2克', '水淀粉': '适量', '油': '适量', '料酒': '10克', '老抽': '5克', '蛋清': '1/2个', '嫩肉粉': '1克'}",[],"特点：口味鲜香，牛肉滑嫩。
提示：牛肉不宜与栗子、牛膝、仙茅同用。",未知,炒,廿分钟,原味
10,蜜橘鸡丁,,http://i3.meishichina.com/attachment/recipe/200910/200910130304493.jpg@!p800,"['鸡脯肉切成丁，加盐、蛋清、料酒、水淀粉搅匀待用；蜜橘去皮、核，也切成大小相似的丁。', '炒锅置中火上，下油烧热，将鸡丁放入滑散。', '待鸡丁变色时放入味精，加少许开水；最后放入橘丁，烹炒均匀出锅，装盘即成。']","{'鸡脯肉': '200克', '蜜橘': '100克', '蛋清': '1个', '水淀粉': '适量', '植物油': '适量', '盐': '适量', '味精': '适量', '绍酒': '适量'}",['热菜'],鸡脯肉切成丁，加盐、蛋清、料酒、水淀粉搅匀待用；蜜橘去皮、核，也切成大小相似的丁。,普通,炒,廿分钟,原味
11,土家一罐香,"“在宜昌不知从何时起，就有了此菜，在平常百姓家均能见到此菜的踪迹。” 
",http://i3.meishichina.com/attachment/recipe/200910/200910130312310.jpg@!p800,"['猪肚洗净切条，乌鸡洗净剁成长4cm 宽1cm的条，排骨剁成长3cm的段沸水待用。', '锅入油烧至四成爆香葱、姜，放入飞水原料烹料酒煸干水气，舀入清水大火烧开，打尽浮沫，倒入瓦罐，小葱挽结放入瓦罐，大火烧开至汤白，转小火煨40分钟。', '将党参入水稍泡，切3cm长段与枸杞放入瓦罐，煨15分钟调入盐、鸡精、白糖即可。']","{'猪肚': '300克', '乌鸡': '200克', '排骨': '250克', '党参': '40克', '枸杞': '15克', '小葱': '20克', '大葱片': '10克', '姜片': '8克', '胡椒粉': '3克', '盐': '6克', '白糖': '3克', '鸡精': '5克', '料酒': '10克', '色拉油': '40克'}",['私房菜'],"特点：汤浓味鲜、养生保健。
提示：党参、枸杞不可久煨。",未知,焖,一小时,原味
